Name,Price,Description,Categories,Images,Details,Available
"Seashell Ostrich Art on Weathered Wood",35,"This unique piece features an ostrich made of various seashells, primarily white with hints of pink. It is mounted on weathered gray wood, evoking a coastal or beachy vibe.","Shell Art","1A_20251115.jpg, 1B_20251115.jpg, 1C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Seashells, natural materials"", ""Mounted on"": ""Weathered wood"", ""Ready to hang"": ""Yes""}",TRUE
"Blue & Silver Jewelry Flower Collage",70,"Framed jewelry art featuring a collage of blue and silver-tone jewelry flowers mounted on a neutral gray background. Framed in black, creating a sophisticated and unique decorative art piece.","Jewelry Art","2A_20251115.jpg, 2B_20251115.jpg, 2C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Framed Red Jewelry Flower Collage",70,"This framed art features a collage of red, gold, silver, and black jewelry flowers mounted on a vibrant red background. The piece is framed in silver, creating a unique decorative art piece.","Jewelry Art","3A_20251115.jpg, 3B_20251115.jpg, 3C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Floral Jewelry Collage Art in Frame",70,"This framed art showcases a collage of pink roses, green leaves, and gold jewelry pieces mounted on a sleek black background, framed in gold for a decorative art piece.","Jewelry Art","4A_20251115.jpg, 4B_20251115.jpg, 4C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Bejeweled Floral Collage Art in Frame",70,"This framed artwork showcases a stunning arrangement of gems and jewelry forming a floral bouquet against a vibrant blue backdrop. Housed in an ornate gold frame, this piece adds a touch of elegance.","Jewelry Art","5A_20251115.jpg, 5B_20251115.jpg, 5C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Christmas Jewelry Collage Art on Wood",70,"This holiday artwork features Christmas-themed jewelry arranged on a stained wooden background. It has mini trees, wreaths and is accented with delicate chain details. It makes a festive decorative piece.","Jewelry Art, Holiday Decor","6A_20251115.jpg, 6B_20251115.jpg, 6C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Silver Floral Jewelry Collage Art",70,"This artwork features silver floral-themed jewelry arranged on a red velvet background, showcased in a silver frame. It makes an elegant decorative piece for any room or occasion.","Jewelry Art","7A_20251115.jpg, 7B_20251115.jpg, 7C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Snowmen Jewelry Collage Art",70,"This artwork features snowmen, angels, Christmas trees, and snowflakes made of jewelry and arranged on a burlap background, showcased in a grey wood frame. Elegant decor for any room.","Jewelry Art, Holiday Decor","8A_20251115.jpg, 8B_20251115.jpg, 8C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Materials"": ""Vintage jewelry, beads, findings"", ""Frame included"": ""Yes"", ""Ready to hang"": ""Yes"", ""Frame size"": ""Approximately 8\"" x 10\""""}",TRUE
"Button Christmas Tree on Wood Plaque",70,"A charming Christmas tree is crafted from colorful buttons and adhered to a stained wooden plaque. A cheerful and festive decorative piece perfect for adding a handmade touch to any holiday display.","Button Art, Holiday Decor","9A_20251115.jpg, 9B_20251115.jpg, 9C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
"Pink Button Christmas Tree on Wood",70,"This artwork features a Christmas tree made of colorful pink buttons glued onto a wood board. A vibrant and cheerful holiday decor piece that adds a touch of handmade charm.","Button Art, Holiday Decor","10A_20251115.jpg, 10B_20251115.jpg, 10C_20251115.jpg","{""Handmade"": ""Yes, one-of-a-kind"", ""Ready to display"": ""Yes""}",TRUE
